name;base_fond;science_fond;ams;n_buildings;n_days;guests;employees
Мотыгинский краеведческий музей;8564;982;3324;1;252;6.6;5
Красноярский культурно-исторический музейный комплекс;17311;7639;22836;1;315;312.5;83
Курагинский краеведческий музей;17255;6411;430;1;285;6.1;5
Минусинская гор.картинная галерея;504;0;504;1;145;8.8;2
Златоруновский поселковый музей;1905;85;1565;1;247;1.5;5
Отрадненский историко-археологический музей;23905;7662;257;2;275;14.1;11
Краеведческий музей г.Шарыпово;4550;5845;2550;1;298;16.1;8
Шимановский краеведческий музей;16010;12049;0;1;288;9.1;7
Свободненский краеведческий музей;19389;4989;2173;1;304;43.7;6
Белогорский краеведческий музей;18777;7479;5294;1;296;43.8;8
Ивановский историко-краеведческий музей;14784;2856;500;1;300;16.8;6
Екатеринославский краеведческий музей;12173;1129;0;2;252;15.2;4
Мазановский районный историко-краеведческий музей;10687;649;0;1;247;10.2;4
Тамбовский музей истории развития с/х Амурской обл.;11745;4581;35;1;247;21.3;6
Историко-краеведческий музей с.Татарка;4120;1070;5190;1;313;3.8;3
Историко-краеведческий музей г.Артема;19197;15982;5782;2;247;33.5;20
Музей нар.промыслов и ремесел Приморья;8395;3824;0;1;306;9.8;12
Красноборский ист.-мем. и художественный музей;16070;7427;215;2;254;15.6;21
Онежский историко-мемориальный музей;11034;6128;50;2;360;18.8;11
Архангельский краеведческий музей;193686;64713;124570;17;309;223.6;112
Северодвинский гор. краеведческий музей;39537;20790;51411;4;298;39.8;40
Пинежский краеведческий музей;11208;3944;1711;1;309;7.6;12
Палласовский ист.-художественный музей;2500;945;0;1;314;15;5
Еланский историко-краеведческий музей;4776;3191;415;1;247;5.8;4
Фроловский краеведческий музей;4026;2167;0;1;255;7.3;3
"Николаевский музей краеведения ""Земля-Космос""";4090;4178;409;2;257;9.1;8
Верховажский ист.-художественный музей;7297;1543;7005;2;247;5.6;5
Музей традиционной культуры с.Тарнога;10145;4630;1749;3;250;9.3;7
Историко-мем.музей А.Я.Яшина  г.Никольска;7484;957;2363;3;300;6.3;6
Вологодский ист-арх.и худ.муз-заповедник;310088;168230;119871;22;268;132.4;128
Грязовецкий музей истории и нар.культуры;7427;2179;4835;1;308;12.2;7
Череповецкое музейное объединение;235476;248761;214328;35;299;193.2;105
Великоустюгский ист-архит.и худ.муз.-зап;81330;35502;69869;16;312;99.2;98
Гос.центр.музей современной истории России;1064669;312985;662736;13;274;110;227
Политехнический музей;152130;82076;222760;7;308;61.2;211
Государственный Эрмитаж;2917619;254141;3171760;21;311;4220.1;2544
Гос.музей истории российской литературы им.В.И.Даля;387304;210932;80146;31;302;107.2;324
Дивногорский художественный музей;3518;1027;2800;1;303;15.6;14
Воронежский обл.литературный музей им.И.Никитина;17576;10321;27897;5;266;73.4;67
Новохоперский краеведческий музей;1308;593;0;1;247;1.9;4
Богучарский ист.-краеведческий музей;20909;12527;0;4;309;8.8;6
Эртильский краеведческий музей;2108;26358;0;2;300;2.3;4
Павловский краеведческий музей;19020;3238;18987;1;346;6;4
Бикинский краеведческий музей;15632;2134;1705;2;260;8.2;9
Черняевский музей истории Амурского казачества;7664;1020;0;2;258;6.2;3
Ромненский ист.-краеведческий музей;13859;4779;0;2;312;6.5;4
Серышевский историко-краевед��еский музей;19207;1946;0;1;247;24;3
Бурейский краеведческий музей;16089;5172;89;1;302;17.8;4
Амурский краеведческий музей им.Новикова-Даурского;125764;38064;13237;1;311;116.4;50
Албазинский краеведческий музей;7206;2788;0;1;259;4.9;3
Музей истории БАМа;25405;18142;357;1;247;30.4;11
Краеведческий музей г.Зеи;16451;5918;0;2;247;19.9;6
Рубцовский краеведческий музей;28462;5761;893;1;278;19.9;22
Егорьевский историко-краеведческий музей;15615;6425;0;1;263;3.2;6
Славгородский краеведческий музей;25625;1584;0;1;290;10.3;10
Всероссийский мем.музей-заповедник В.М.Шукшина;17663;5327;11990;11;301;35.4;43
Гос.художественный музей Алтайского края;12699;3195;15884;4;256;13.5;56
Бийский краеведческий музей им.Бианки;113593;33237;8560;5;251;31.4;25
Каменский краеведческий музей;24851;3562;496;1;352;11.1;14
Национальный музей Респ.Алтай им.Анохина;57537;8478;140;1;247;40.4;49
Павловский ист.-художественный музей им.Борунова;5713;4562;0;2;305;10.5;7
Косихинский краеведческий музей;4519;980;0;1;286;2.1;3
Змеиногорский музей истории развития горного производства им.А.Демидова;18142;2891;13527;1;355;5.8;12
Заринский краеведческий музей;10842;5263;0;1;280;3.9;2
Новоалтайский краеведческий музей;7103;6427;0;1;249;6;7
Славянский историко-краеведческий музей;27622;7057;0;3;313;31.6;16
Краснодарский музей-заповедник им.Е.Фелицына;324609;95521;221627;10;316;107.7;180
Тихорецкий гор.ист.-краеведческий музей;18351;3248;0;1;304;35;14
Тимашевский музей семьи Степановых;17190;11893;10604;5;310;61.9;33
Анапский археологический музей;43362;17197;13735;4;327;209.7;50
Темрюкский историко-археологический музей;18356;9337;14186;3;365;123.8;42
Историко-краеведческий музей Труновского муниципального района;7456;1157;3918;1;230;5.9;5
Благодарненский ист-краеведческий музей;10831;470;250;3;300;12.1;5
Светлоградский ист.-краеведческий музей;13923;1679;12669;1;300;16.1;8
"Литературно-музыкальный музей ""Дача Шаляпина""";9469;12291;5620;2;345;39.3;24
Железноводский краеведческий музей;24262;6347;22950;2;344;20.1;10
Гос.музей-заповедник М.Ю.Лермонтова;31439;30563;29006;12;302;126;44
Став.гос.муз-зап.им.Прозрителева и Праве;258681;62796;312868;2;319;77;102
Невинномысский ист.-краеведческий музей;9386;3354;5342;1;310;17.3;12
Александровский ист-краеведческий музей;12960;1317;12191;1;275;11.5;7
Ессентукский историко-краеведческий музей;26600;11171;26600;2;307;30.3;17
Пятигорский краеведческий музей;99840;35798;57135;1;324;41;35
Музей-памятник защитникам перевалов Кавказа в годы ВОВ 1941-1945 гг.;2566;3561;0;2;303;4.9;8
Кисловодский мем. музей-усадьба художника Н.А.Ярошенко;6088;2295;3918;8;313;59.6;28
Ставропольский краевой музей изоискусств;25194;1551;26745;4;310;60.9;44
Георгиевский ист.-краеведческий музей;47657;10869;34746;3;311;16;13
Зеленокумский краеведческий музей;10830;1275;6232;1;302;16.5;7
Ипатовский краеведческий музей;15336;1821;8675;1;278;17.9;8
Музей города-курорта Теберда;2192;5521;0;1;303;2.1;6
Музей истории Изобильненского р-на;13936;3315;5595;1;308;16.4;7
Андроповский районный краеведческий музей;6185;432;5299;2;312;10;9
