name;base_fond;science_fond;ams;n_buildings;n_days;guests;employees
Музей А.Г.Малышкина;747;785;0;3;279;4.6;9
Пермский краеведческий музей;484303;137983;220000;8;311;155.8;166
Осинский краеведческий музей;4381;2368;2615;2;305;17.2;19
Чайковский краеведческий музей;189;24;213;5;250;15.7;16
Березниковский ист.-художественный музей им.И.Ф.Коновалова;93384;52472;30194;2;270;19;26
Рыбинский гос.музей-заповедник;110686;20621;131307;4;361;144.6;100
Переславский ист.-архит. и худ.муз-зап.;86777;9417;96194;24;336;83.3;125
Музей истории г.Ярославля;11059;3560;14619;6;306;43.8;54
Дом-музей Дж.Киекбаева;483;432;915;1;337;3.3;1
Литературно-художественный музей семьи Аксаковых;1574;536;2010;3;306;7;5
Музей М.Уметбаева, д.Ибрагимово;334;30;34;1;244;5.7;2
Музей Р.Гарипова, с.Аркаулово;376;254;1;1;247;1.7;1
Музей М.Гареева, с.Верхнеяркеево;1732;1884;0;2;244;4.2;4
Национальный музей Респ.Башкортостан;170325;82541;184950;4;311;62.1;78
Мем.дом-музей Мажита Гафури;2025;1159;25;1;244;10.5;7
Музейный комплекс с.Слакбаш;2234;373;0;4;246;4;3
Нижнекамский городской комплексный музей;18472;9231;10000;1;352;22;30
Заинский краеведческий музей;11289;2268;124;1;241;2.5;12
Краеведческий музей Камско-Устьинского муниципального района;8081;1891;800;1;315;2.1;3
Музей истории села Елхово им.Халиуллы Ахметшина;9879;3414;108;1;269;20;4
Кизнерский краеведческий музей;4420;4823;0;1;253;9.3;10
Юкаменский краеведческий музей;524;117;0;2;247;2.9;10
Музей истории Каракулинского района;3128;2497;0;3;300;4;6
Музей истории Сибирского тракта,с.Дебесы;2965;797;0;2;265;8.3;5
Национальный музей Удмурт.Респ. им.Герда;167717;61784;76632;4;306;67.9;114
Музей ист.и культуры Камбарского района;14417;4101;0;1;250;4.6;5
Елагиноостровский дворец-музей;14526;857;14500;5;304;44;52
"Центр.выставочный зал ""Манеж""";2965;83;2965;7;260;210.3;94
Тарусская картинная галерея;1105;0;1010;1;267;8.5;6
Малоярославецкий военно-ист.музей 1812 г;11257;2736;3137;3;273;19;14
Музей истории г.Обнинска;37068;20846;37068;3;288;55.4;38
"Музейно-краеведческий музей ""Дом Позняковых""";5036;5088;95;2;247;9.8;5
Жиздринский ист.-краеведческий музей;5580;1010;0;1;247;2.2;2
Музей семьи Цветаевых;2763;1713;0;2;247;21.7;5
"Кемеровский музей-заповедник ""Красная Горка""";20585;5106;18938;1;362;80.3;34
"Музей-заповедник ""Кузнецкая крепость""";19579;4924;12329;4;360;141.9;54
Промышленновский краеведческий музей;12014;534;1038;2;255;26.1;12
Музей этнографии и природы Горной Шории;9550;3621;5500;1;301;20.8;9
Музей истории крестьянского быта села Красного;2685;430;660;1;309;8.6;4
Камчатский краевой художественный музей;2625;1533;2625;1;310;32.8;19
Быстринский районный этнографический музей;1589;523;10;6;270;14.9;11
Камчатский краевой объединенный музей;123000;25208;7074;2;274;25.3;37
Корякский окр.краеведческий музей;16418;4224;6107;1;247;4.9;10
Соликамский краеведческий музей;65721;20920;20456;7;300;57;36
Чердынский краеведческий музей им.А.Пушкина;106961;30175;66317;2;312;7.7;12
Ильинский краеведческий музей;17125;4595;4197;3;312;10.6;14
Гайнский краеведческий музей им.А.Я.Созонова;5605;5298;3145;1;299;3.1;9
Коми-Перм.краев.муз.им.Субботина-Пермяка;60014;24972;25339;3;312;11.8;24
Пермская гос.художественная галерея;48405;4435;52840;1;306;127.4;72
Чайковская художественная галерея;2850;3066;1016;1;301;14.6;13
Краснокамский краеведческий музей;248;1015;1263;3;298;8.5;12
Добрянский историко-краеведческий музей;15100;18731;11743;2;320;12.1;18
Суксунский историко-краеведческий музей;10340;1501;6363;2;327;9.3;4
Псковский гос. объединенный историко-архитектурный и художественный музей-заповедник;514687;123263;154974;96;314;202.7;157
Мемориальный музей-усадьба М.П.Мусоргского;3107;2952;482;13;314;9.6;15
Мытищинский ист.-художественный музей;17942;4424;4316;1;255;11.9;13
Музей М.Акмуллы, д.Туксанбаево;538;152;38;1;244;6;3
Музей К.Хакимова, с.Дюсаново;383;812;151;1;239;2.7;1
Стерлитамакский ист-краеведческий музей;23973;7994;2034;1;279;40.5;9
Башкирский гос.художественный музей им.М.В.Нестерова;13203;240;6575;3;294;42.9;47
Баймакский историко-краеведческий музей;6621;3237;7391;1;251;8;4
Октябрьский ист.-краеведческий музей;28974;5001;100;2;327;21.9;10
Белебеевский ист.-краеведческий музей;17417;19592;3162;1;277;30.6;9
Учалинский историко-краеведческий музей;19537;4834;100;1;244;11;4
Мемор.дом-музей С.Т.Аксакова;4022;1810;5832;1;266;8;9
Дюртюлинский ист.-краеведческий музей;14779;6132;517;1;299;18;10
Илишевский историко-краеведческий музей;3520;2265;0;1;253;4;3
Туймазинский ист.-краеведческий музей;29799;14274;44073;1;308;18;9
Музей Ш.Худайбердина;788;1463;0;1;246;1.5;1
Янаульский историко-краеведческий музей;9956;2080;12035;1;253;8.9;4
Музей С.Юлаева, с.Малояз;1506;3130;334;1;308;17.5;8
Белорецкий историко-краеведческий музей;12544;1589;5555;1;247;32.6;7
Литературно-мемориальный музей Ф.А.Абрамова;6874;3348;2155;3;309;2.4;7
Котласский краеведческий музей;25764;6765;11317;4;296;7.8;19
"ГМО ""Художеств.культура русского Севера""";34226;4132;28796;8;311;175.7;159
Ненецкий окр.краеведческий музей;14108;27065;4420;1;289;12.2;42
Сольвычегодский ист-художественный музей;8068;2026;8068;7;313;26;29
Каргопольский историко-архитектурный и худ.музей;33855;14785;22078;17;311;57.2;54
Вельский краеведческий музей;22830;4939;397;5;285;24.8;23
Шенкурский краеведческий музей;22045;6214;13061;3;251;5.7;12
Яренский краеведческий музей;12872;4912;378;2;307;9.1;11
Историко-мемор.музей М.В.Ломоносова;5317;5220;471;1;309;10.2;11
Мезенский историко-краеведческий музей;7280;6233;2718;2;309;2.1;8
Астраханский гос.объединенный музей-заповедник;230168;66826;111900;1;347;68.4;119
Елизовский районный краеведческий музей;26064;4312;26064;1;249;3.5;11
Киселевский краеведческий музей;11119;2770;520;1;255;17.7;5
Ижморский краеведческий музей;9736;1459;947;1;247;3.7;8
Дом-музей писателя В.Чивилихина;3022;610;0;1;309;11.5;5
"Музей-заповедник ""Томская Писаница""";12861;9854;4403;35;295;115.4;87
Чебулинский краеведческий музей;10781;906;1620;2;310;10;12
Кемеровский обл. краеведческий музей;78511;16982;35732;3;307;140.5;56
Гурьевский гор.краеведческий музей;17429;207;3465;1;310;17.2;9
Юргинский краеведческий музей;32654;1378;4545;1;308;16;11
Осинниковский городской краеведческий музей;17887;6356;516;1;247;26.4;13
Мариинский краеведческий музей;10803;14400;0;2;309;19.1;8
Новокузнецкий краеведческий музей;57709;4243;9007;2;300;93.4;47
Прокопьевский гор.краеведческий музей;22355;1003;728;1;324;36.1;23
Ленинск-Кузнецкий краеведческий музей;20447;6783;1453;1;298;38.2;8
Кемеровский обл. музей изоискусств;6125;487;6603;1;305;30;40
Новокузнецкий художественный музей;9174;168;9342;1;282;120.7;38
Новокузнецкий литературный музей Ф.Достоевского;7411;3480;1970;3;310;24.8;18
Юргинский музей детского изоискусства народов Сибири и Дальнего Востока;8619;120;6454;1;268;17;13
Анжеро-Судженский краеведческий музей;42348;6485;1914;1;276;38.5;12
Рузский районный краеведческий музей;16221;3321;17308;1;357;24.2;18
Клинское музейное объединение;15217;12200;2818;4;298;55.1;26
Павлово-Посадский историко-художественный музей;17110;1357;0;1;312;11.9;12
Каширский краеведческий музей;21680;7183;0;2;308;34.9;23
Краеведческий музей г.Пушкино;7460;6524;13944;1;252;5.6;9
"МВК ""Волоколамский Кремль""";6285;14975;0;7;300;45.1;26
Гос.мем.музыкальный музей-заповедник П.И.Чайковского;211610;10137;52860;13;261;121.9;98
"Музей-заповедник ""Усадьба ""Мураново"" им.Ф.И.Тютчева""";28894;2224;12592;16;305;58.9;76
Сергиево-Посадский гос.историко-художественный музей-заповедник;109826;82682;30000;6;364;123.2;239
Серпуховской ист.-художественный музей;40100;3047;12275;11;302;78.8;99
Звенигородский историко-архитектурный и художественный музей;52337;12479;24608;6;314;83.7;79
Орехово-Зуевский гор.историко-краеведческий музей;30404;17192;0;2;309;30.6;18
Наро-Фоминский ист.-краеведческий музей;16922;7498;0;1;253;43.7;18
Ленино-Снегиревский военно-исторический музей;11420;7385;2010;3;315;138.6;23
Подольский краеведческий музей;34857;11256;3475;2;313;34;37
Бирский историко-краеведческий музей;10588;4701;1810;1;263;14;6
Зианчуринский ист.-краеведческий музей;1529;934;1529;1;247;8.9;2
Абзелиловский ист.-краеведческий музей;3820;667;4487;1;314;3.5;4
Аургазинский ист.-краеведческий музей;8983;3068;400;1;242;13.4;3
Сибайский историко-краеведческий музей;7625;3675;11300;1;311;20.6;10
Кугарчинский ист.-краеведческий музей;2948;995;0;1;251;3.6;4
Музей М.Муртазина;339;555;108;1;224;0.9;1
Ермекеевский ист.-краеведческий музей;749;500;749;1;246;3.5;4
Музей М.Цветаевой, с.Усень-Ивановское;875;625;1500;1;247;4;1
Велижский историко-краеведческий музей;13960;6120;530;2;230;5.2;3
Тамбовский обл.краеведческий музей;81524;41368;22044;1;311;124.4;90
"Музей-усадьба С.В.Рахманинова ""Ивановка""";7303;6017;1797;5;365;98.7;52
Краеведческий музей г.Рассказово;5975;2641;405;1;300;5.6;5
Кирсановский краеведческий музей;24869;38032;0;1;312;11.5;3
Мичуринский краеведческий музей;16290;4570;5102;1;311;15.7;15
Моршанский историко-художественный музей;32170;11489;3538;3;311;23.8;11
Тамбовская обл.картинная галерея;5440;1821;3150;1;317;70.1;43
Дом-музей Г.В.Чичерина;2815;2033;300;1;311;16.9;5
Инжавинский краеведческий музей;7473;1307;21;1;306;3.7;2
Астраханская карт.галерея им.П.Догадина;13362;7661;13760;1;301;35.3;84
Вейделевский краеведческий музей;8046;3113;11159;1;258;10.4;9
Дом-музей генерала армии Н.Ф.Ватутина;716;664;1380;2;316;5.8;5
Ровеньский краеведческий музей;3823;2473;4429;1;319;11.8;6
Ист.-литературный музей Н.В.Станкевича;3996;5163;5400;1;259;23.8;4
Старооскольский художественный музей;2055;311;2040;3;253;12;13
"Музей-диорама ""Курская битва.Белгородское направление""";11057;5928;16985;1;308;144;58
Белгородский гос. ист.-краеведческий музей;105764;57376;150112;1;364;51.3;70
"Мемориал ""В честь героев Курской битвы""";2393;2978;5336;2;327;22;21
Алексеевский краеведческий музей;17740;3837;21577;1;297;41.6;8
Старооскольский краеведческий музей;48133;8865;45909;4;310;34.8;33
Шебекинский ист.-художественный музей;39633;7285;29158;1;297;13.9;15
Мемориальный музей Первой Конной Армии;9206;5396;9383;2;306;5.9;43
Белгородский гос.художественный музей;4765;479;5052;6;311;58.1;86
Валуйский историко-художественный музей;12789;5822;11466;1;320;26;10
Краеведческий музей на ст.Юрга-2;14323;5610;570;1;247;3.1;5
Кузедеевский музей ДПИ;1749;126;1250;1;300;8.3;2
Топкинский исторический музей;11163;4213;801;1;316;5.7;10
Марьевский лит.-мем. музей поэта В.Д.Федорова;2337;100;1352;2;305;20.3;6
Березовский гор.краеведческий музей им.В.Н.Плотникова;16712;3786;4650;2;313;7.8;18
Кировский обл. краеведческий музей;159350;92642;9702;11;332;156.3;85
Дом-музей Ф.Э.Дзержинского;531;367;898;2;280;3;4
Кикнурский краеведческий музей им.В.А.Шарыгина;6760;9277;0;1;305;6;4
Вятско-Полянский исторический музей;14701;17667;6342;2;304;24;15
Котельничский краеведческий музей;12416;7329;1910;1;297;8;7
Малмыжский краеведческий музей;14315;3687;3403;1;129;6.6;10
Слободской музейно-выставочный центр;28372;19180;9893;5;357;27.8;31
Советский краеведческий музей;15376;10719;1787;1;356;17.8;12
Яранский краеведческий музей;16686;11923;2057;1;360;15.2;15
Санчурский исторический музей;6970;2377;215;1;247;1.8;11
Вятский художественный музей им.Васнецовых;22847;0;22847;4;247;163.1;67
Белохолуницкий краеведческий музей;7147;3351;971;2;303;18;8
"Музей-заповедник ""Дмитровский Кремль""";35735;12157;22003;15;256;44.7;124
Егорьевский ист.-художественный музей;25567;1938;4150;2;290;46.4;45
"Государственный музей-заповедник ""Зарайский кремль""";48606;208367;24142;13;255;59;81
"Историко-культурный музей-заповедник ""Коломенский Кремль""";27723;5000;685;8;247;53;46
Ногинский музейно-выставочный центр;9396;4907;0;1;310;8.2;13
Раменский историко-художественный музей;53733;15452;53375;2;284;24.9;27
"Гос.музей-заповедник А.П.Чехова ""Мелихово""";22813;7270;7222;28;306;149.2;139
Подольский выставочный зал;787;43;653;1;344;47;24
Музей Героев-Панфиловцев д.Нелидово;1123;1138;0;1;296;18.2;9
Музей Зои Космодемьянской;3078;603;3080;2;306;39.5;13
"Музейно-выставочный комплекс ""Новый Иерусалим""";157890;32727;27165;6;312;318.7;179
Гос.музей-заповедник Д.И.Менделеева и А.А.Блока;18217;7155;7979;17;262;108.1;82
Можайский историко-краеведческий музей;5103;6358;5103;2;301;13.2;17
Государственный историко-литературный музей-заповедник А.С.Пушкина;16841;718;12480;15;321;234.7;153
Музей-усадьба А.М.Герасимова;3425;856;438;5;317;31.3;27
Томский обл. краеведческий музей;192801;12924;38078;11;310;82.5;122
Колпашевский краеведческий музей;17310;17133;410;4;305;29.4;14
Нарымский музей политической ссылки;3552;3651;7203;3;301;8.2;10
Томский обл.художественный музей;11993;1667;6051;5;309;84.8;73
Подгорненский краеведческий музей;3480;5683;3155;1;265;33.7;6
Мемориальный музей М.В.Исаковского;1137;890;0;1;247;1.8;2
Воловский художественно-краеведческий музей;1499;525;0;1;248;0.6;3
"Музей-усадьба А.Т.Болотова ""Дворяниново""";1398;742;200;5;365;28.4;15
Веневский краеведческий музей;6728;2388;1442;1;247;3.3;6
"Музей ""Тульский Кремль""";1168;1930;3027;6;317;96.7;30
Тульский художественный музей;20342;1781;19926;4;364;91.9;86
Губкинский краеведческий музей;23536;9377;23323;1;306;33.4;11
Борисовский историко-краеведческий музей;4213;2824;2306;3;258;10;6
Унечский историко-краеведческий музей;3642;5763;1415;2;308;15;5
Брянский гос.краеведческий музей;188368;39673;34899;3;312;176.9;76
Юдиновский ист.-археологический музей;10542;648;0;3;312;14.9;10
Почепский краеведческий музей;4214;1117;0;1;312;11;5
Навлинский музей партизанской славы;7372;3238;1000;1;312;12.8;5
"Гос.музей-заповедник Ф.И.Тютчева ""Овстуг""";6895;10246;3660;6;317;185.5;32
Сещенский музей интернационального подполья;1369;326;0;1;312;10;4
Климовский музей дружбы народов;4480;1566;0;2;312;15.4;4
"Мем.комплекс ""Партизанская поляна""";518;320;518;1;363;80.3;21
Карачевский краеведческий музей;6115;3007;0;1;312;11.5;5
Брянский обл.художественный МВЦ;10242;319;8767;1;296;47.8;23
Клинцовский краеведческий музей;17946;9013;33;1;312;33;7
Городецкий ист.-художественный музейный комплекс;19389;9000;0;11;309;69.1;42
Дзержинский краеведческий музей;41660;24768;1888;1;308;16.3;12
"Музей-заповедник ""Рябово""";505;188;0;9;247;19.1;13
Афанасьевский краеведческий музей;5385;7916;1519;1;247;8.8;5
Кадыйский краеведческий музей;4272;464;4272;1;247;2.3;3
Вохомский краеведческий музей;6483;6545;8003;1;252;3.5;8
Макарьевский краеведческий музей;5334;7054;1206;1;311;2.2;7
Нерехтский краеведческий музей;10091;2326;1767;9;300;6.1;21
Сусанинский краеведческий музей;4820;1678;3088;3;321;6;10
Шарьинский краеведческий музей;6679;3265;1924;1;345;15.5;10
Буйский краеведческий музей им.Т.В.Ольховик;21271;11745;4734;2;315;7;13
Галичский краеведческий музей;13033;5316;1968;3;364;7.5;10
Кологривский краеведческий музей им.Г.А.Ладыженского;9944;2504;9773;2;329;2.9;12
Солигаличский краеведческий музей им.Г.И.Невельского;14060;2807;1416;1;312;13.1;8
Чухломский краеведческий музей им.А.Ф.Писемского;25612;1295;1565;1;267;2.8;5
Парфеньевский литературно-художественный музей;1419;3249;1831;1;313;2.1;6
Историко-культурный центр им.Б.М.Кустодиева;489;470;0;1;247;3.8;5
Красносельский музей ювелирного и народно-прикладного искусства;4170;483;1246;1;314;5.8;21
Ковдорский районный краеведческий музей;4078;2813;0;1;256;13;10
Ступинский историко-краеведческий музей;13000;4282;376;1;261;14.8;23
Мурманский обл. краеведческий музей;115264;52372;32500;3;248;90;83
Кировский историко-краеведческий музей;14244;8946;9725;3;294;16;14
Мурманский обл. художественный музей;8795;2218;11013;3;255;93;69
"Ступинская художественная галерея ""Ника""";2022;85;0;1;247;6.2;10
Щелковская художественная галерея;616;0;0;1;263;14.1;12
Мультимедийный комплекс актуальных иск-в;137653;27912;155221;5;312;951;167
"Жигулевский музей ""Самарская Лука""";9772;2491;9243;4;346;22.9;10
Музей истории города Самары им.Челышова;1766;124;1002;2;252;8.3;14
Хвойнинский краеведческий музей;605;620;0;1;314;5;4
Богородицкий дворец-музей и парк;10299;4694;4557;3;324;73.7;57
Дом-музей С.Д.Дрожжина;2273;7428;1341;1;247;4.6;3
Киреевский районный краеведческий музей им.А.Н.Куприна;2834;3020;331;1;247;9.3;5
Тульский областной краеведческий музей;96963;55955;42636;6;365;164.2;159
Белевский художественно-краеведческий музей;18723;7536;18723;1;262;10.5;9
Ефремовский художественно-краеведческий музей;14445;12129;14445;2;310;12;11
Новомосковский ист.-художественный музей;23062;2180;3858;3;345;35.7;22
Суворовский краеведческий музей;1868;2333;0;1;347;4;3
Ясногорский художественно-краеведческий музей;3462;1443;0;1;260;5.4;6
Щекинский художественно-краеведческий музей;5225;1732;1105;1;310;25.5;9
Чернский историко-краеведческий музей;5178;1933;3100;2;365;7.6;5
"Историко-мемориальный музейный комплекс ""Бобрики""";20087;6579;1870;2;305;11;15
Одоев - город музей;5193;1213;2548;1;360;7.1;5
Алексинский художественно-краеведческий музей;19724;3807;2817;1;276;10.2;19
Т��бунский краеведческий музей;4752;1945;0;2;244;1.5;3
Узловский художественно-краеведческий музей;22307;4084;8600;1;273;13.7;16
Музей истории и археологии г.Надыма;9334;3245;12579;1;357;13.9;24
Угутский краеведческий музей;5837;606;6443;1;247;1.6;12
"МАУК ""Ишимский музейный комплекс им.П.П.Ершова""";38063;6481;44537;5;365;148.1;26
Мемориальный музей В.П.Чкалова;6263;2356;539;3;316;23.1;16
Павловский исторический музей;31088;10809;1100;3;308;12.2;11
Тоншаевский краеведческий музей;6600;5220;472;1;270;7.3;7
Большемурашкинский ист.-художественный музей;11339;611;0;1;300;3.6;4
Сергачский краеведческий музей им.Громова;18215;15570;0;1;247;10.4;10
Музей А.Д.Сахарова;1177;730;0;1;308;2.9;10
Ивановский гос.ист.-краеведческий музей им.Бурылина;739068;41648;123899;8;305;58.4;101
Мем.дом-музей Д.А.Фурманова;4506;711;0;1;302;2.3;8
Вичугский художественный музей;4816;1480;44;2;308;9.3;9
Гаврилово-Посадский краеведческий музей;10539;2082;0;1;250;1;9
Мытский краеведческий музей;4492;689;0;2;247;3.8;8
Ильинский краеведческий музей;13954;1361;0;1;250;1;7
Пучежский краеведческий музей;9008;2642;0;1;210;1.3;4
Лальский историко-краеведческий музей;10104;989;0;4;308;8;15
Музейно-архивный центр г.Кирово-Чепецка;7656;8020;2386;1;250;27.4;9
Подосиновский краеведческий музей;8067;8317;397;6;299;8.7;5
Тужинский краеведческий музей;2524;2302;0;1;247;5.7;4
Межевской краеведческий музей;2158;479;2023;1;312;2;8
Мемориальный музей генерала Армии М.Малинина;2178;1037;3207;1;313;1.9;6
Мантуровский краеведческий музей;4990;7072;350;1;363;4.4;5
Центр досуга гор.поселения п.Поназырево;965;173;1138;1;220;2;1
"Историко-культурный центр ""Пыщуганье""";3036;494;50;1;309;3;5
Поспелихинский краеведческий музей;11171;1108;49;1;247;2.6;3
Советский краеведческий музей;8243;15777;0;1;215;1.4;3
Тальменский краеведческий музей;10892;2850;0;1;247;12.2;5
Усть-Калманский краеведческий музей;3859;260;0;1;238;2.7;1
Усть-Пристанский краеведческий музей;5467;1288;0;1;247;1.2;1
Музей истории и краеведения г.Малоярославца;6239;8811;6239;1;248;6.5;7
Каргатский историко-краеведческий музей;4082;2467;1986;1;285;3.8;5
Музейный комплекс города Куйбышева;32942;15648;4100;4;259;46.7;27
Здвинский районный  музей боевой и трудовой славы;3615;1400;900;1;247;13.1;4
Баганский краеведческий музей;3952;3978;931;1;255;8;5
Черепановский краеведческий музей;5024;2155;2108;1;247;4.7;4
Ист.- краеведческий музей г.Татарска;14504;22363;8041;2;353;17.3;16
Ордынский историко-художественный музей;6456;1317;4544;1;276;5.4;6
Бердский историко-художественный музей;12243;4057;6100;4;247;16.3;27
Новосибирский гос. краеведческий музей;192135;76058;268193;1;260;123.9;112
Искитимский ист.-художественный музей;19444;3227;1781;1;195;7;23
Новосибирский гос.художественный музей;11744;956;11744;2;309;152;140
Краснозерский художественно-краеведческий музей;7308;4341;1397;1;260;7.9;14
Новоуренгойский гор.музей изоискусств;2214;936;3150;1;265;28.4;14
"ГАУК ТО ""Тюменское МПО, структурное подразделение ""Музейный комплекс им.И.Я.Словцова""";247032;146513;393545;16;261;318.1;212
"ГАУК ТО ""Тюменское МПО, структурное подразделение ""Ялуторовский музейный комплекс""";26825;9569;36154;5;306;54.4;39
"ГАУК ТО ""Тюменское МПО, структурное подразделение ""Тобольский историко-архитектурный музей-заповедник""";292299;118740;411039;55;309;235.6;151
Гос.окружной музей природы и человека;131931;27369;143541;4;277;105.7;95
Ямало-Ненецкий окр. муз.-выст.комплекс;74526;72636;147162;2;311;18.1;128
Березовский краеведческий музей;19440;4730;11900;1;300;16.5;17
Ульяновский обл. художественный музей;11398;863;2574;1;314;73.3;44
Ульяновский краеведческий музей им.Гончарова;145995;18659;16820;2;315;67.7;78
Музеи г.Юрьевца;13328;2291;6601;5;314;7.7;20
Тверской краеведческий музей;410409;279183;386025;9;247;36.1;126
Архитектурно-энтографический музей под открытым небом;86;333;86;17;247;22;9
Старицкий краеведческий музей;5858;2715;3;1;247;12.3;14
Бежецкий лит-мемор.и краеведческий музей;994;1351;991;2;215;2.6;4
Удомельский краеведческий музей;3125;4695;624;1;239;4;3
Дом-музей М.И.Калинина д.Верхняя Троица;1699;2312;0;4;239;3.7;2
Зубцовский краеведческий музей;1361;2313;41;1;247;4;2
Кашинский краеведческий музей;11826;3959;637;2;247;11.2;8
Калязинский краеведческий музей;11055;5808;1618;2;247;15.7;6
Кимрский краеведческий музей;27377;17875;257;1;247;19.6;15
Осташковский краеведческий музей;16043;22699;35;3;247;29.7;13
"Музей-заповедник ""Прорыв блокады Ленинграда""";10895;1100;10563;4;360;55.1;24
Гатчинский музей-усадьба П.Е.Щербова;13509;2600;16109;2;230;2.8;10
"Литературно-мемориальный историко-художественный музей-усадьба В.В.Набокова ""Рождествено""";1764;4327;6091;2;256;22.7;24
"Литературно-мемориальный музей ""Дом станционного смотрителя""";3315;1508;4823;15;247;40.2;22
Музей истории г.Волхова;9139;2725;11864;2;363;5.2;12
"Музей-усадьба ""Приютино""";10985;1254;12238;9;246;7.7;17
Киришский историко-краеведческий музей;9850;5052;8803;1;260;6.1;6
Сосновоборский художественный музей современного искусства;2167;5579;7120;1;319;7.9;6
Лодейнопольский ист.-краеведческий музей;18149;14063;22195;1;250;2.9;9
Музей В.А.Тропинина и московских художников его времени;2815;185;2975;2;315;33;22
Колыванский краеведческий музей;14400;5111;3600;1;249;12.4;20
Русско-Полянский музей истории целины;5968;720;3556;1;303;7.5;2
Омский музей Кондратия Белова;847;152;847;1;307;18.8;11
Гуковский музей шахтерского труда им.Л.И.Микулина;16678;7101;21216;1;316;25.2;26
Дом-музей С.М.Буденного;738;683;672;2;295;3.9;8
Тацинский историко-краеведческий музей;2411;392;2030;1;300;4.7;13
Каменский музей ДПИ и народного творчества;30112;2521;17857;2;313;25;23
Шахтинский краеведческий музей;13905;310;13905;1;347;30.3;6
Волгодонский эколого-исторический музей;96329;15129;111458;7;363;126.5;68
Боковский краеведческий музей;2076;1005;2000;1;248;3.5;4
Новочеркасский музей истории донского казачества;158663;53530;127011;13;319;170;97
Аксайский военно-исторический музей;50351;22303;47168;12;365;27.4;50
Старочеркасский ист.-архитектурный музей-заповедник;56292;11040;41832;10;364;113.1;73
Азовский ист.-археологический и палеонтологический музей-заповедник;225189;172466;297082;11;364;203;215
Димитровградский краеведческий музей;18877;6392;20;2;325;33.8;22
Кунашакский ист.-краеведческий музей;2404;619;0;1;256;5.3;2
Октябрьский ист.-краеведческий музей;1646;1017;0;1;238;4.3;3
Гос.исторический музей Южного Урала;227653;96634;174647;3;316;142.1;183
Верхнеуфалейский ист.-краеведческий музей;10028;7249;11429;3;283;18.2;21
Карабашский городской музей;2836;1755;3706;1;299;2;5
Копейский краеведческий музей;8983;20350;24519;1;296;23.2;26
Катав-Ивановский краеведческий музей;6463;7764;14227;1;295;2.6;7
Верхнеуральский краеведческий музей;17846;4738;22584;2;247;10.2;17
Златоустовский городской краеведческий музей;56633;19762;36153;5;315;77.7;49
Нязепетровский музейно-выставочный центр;2552;3214;2552;1;247;3.4;10
Магнитогорский ист.-краеведческий музей;38696;65260;4473;2;276;14.8;30
Бельский краеведческий музей;2491;3084;2465;1;247;3.2;2
Ржевский краеведческий музей;6248;2587;1059;2;247;17;9
Торопецкий краеведческий музей;13619;5447;200;2;247;6.3;4
Весьегонский краеведческий музей;7689;3993;303;2;247;5;3
Тверская обл. картинная галерея;36896;12439;35023;8;266;51;145
Краснохолмский краеведческий музей;3875;3074;2686;1;247;2.7;5
Ворошиловский краеведческий музей;2597;924;1107;1;210;1.3;1
Музей С.Я.Лемешева;293;195;293;3;247;0.9;1
Малоярославецкая гор.картинная галерея им.Е.А.Чернявской;729;183;0;1;250;3.7;9
"Военно-исторический музей ""Юхнов - город воинской доблести""";3324;788;0;1;299;2.2;3
Кировский ист.-краеведческий музей;16804;2890;1515;1;300;14.5;5
Калужский объединенный музей-заповедник;99489;67861;3279;1;247;12.9;31
"Военно-исторический музей ""Зайцева гора""";2365;2191;0;1;247;9.2;2
"Музейно-краеведческий комплекс ""Стольный город Боровск""";6755;6967;6126;1;247;6.7;4
"Музейно-краеведческий центр ""Дом Цыплаковых""";4782;3268;81;1;247;8.1;4
"Военно-исторический музей ""Тарутино""";907;817;0;1;247;7;3
Мемориальный музей космонавтики;42238;54440;90024;3;326;581.2;186
Государственный музей А.С.Пушкина;141423;21186;53549;15;302;311.6;357
Гос.музей обороны Москвы;36645;24978;59172;2;254;57.3;39
Музей С.И.Танеева в Дютькове;10557;4722;0;2;260;6.3;3
Раздорский этнографический музей-заповедник;20054;6845;25834;11;363;25.2;44
Таганрогский гос. литературный и историко-архитектурный музей-заповедник;179725;114206;113286;10;247;186.2;170
Таганрогский художественный музей;6562;519;7081;3;321;34.2;46
Ростовский обл.музей изоискусств;6758;645;6758;2;313;70;86
Сальский музей им.нар.художника В.Нечитайло;2911;255;3166;4;306;21.2;21
Красноуфимский краеведческий музей;14890;12170;16266;1;254;20.7;21
Невьянский историко-архитектурный музей;49260;19501;67900;25;268;117.5;73
Нижнетагильский музей изоискусств;9165;999;9448;4;339;50.5;46
Энгельcская картинная галерея;228;0;0;9;102;11.5;16
"Нижнетагильский музей-заповедник ""Горнозаводской Урал""";313331;135955;432365;67;260;110.5;273
Карпинский краеведческий музей;14599;6303;705;1;306;16.7;8
Верхнепышминский исторический музей;12311;10463;253;1;218;20.2;14
Серовский исторический музей;45641;25143;7195;2;254;14.1;15
Уральский гос.военно-исторический музей;7238;6219;13457;2;248;33.9;38
Музей истории Екатеринбурга;41191;32395;2400;4;318;83.5;60
Екатеринбургский музей изоискусств;15047;862;15909;8;298;111.3;84
Северо-Курильский краеведческий музей;363;438;0;1;172;0.6;2
Корсаковский ист.-краеведческий музей;5639;2236;5171;1;310;16.2;10
