,atl hip hop,australian pop,big room,boy band,brostep,canadian hip hop,canadian pop,country rap,dance pop,dfw rap,edm,electropop,escape room,latin,panamanian pop,pop,pop house,r&b en espanol,reggaeton,reggaeton flow,trap music,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5051561780534168,0.5353863131005974,0.628599303319096,0.5,0.2920296742201791,0.8349855640127543,0.3459856683894138,0.1305439734843836,0.0,0.116512183082353
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.33407360851598167,0.9180628854236228,0.7108912436767914,0.75,0.2920296742201791,0.7058941815092362,0.9651513399331977,0.2386901420909944,0.27609100631388067,0.8403719735128661
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999991,0.9057828253177589,0.0,0.75,0.7227062322935722,0.7903879440859,0.314296532109549,0.3216736159093698,1.0000000000000002,0.45746693288039175
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.14220557894665387,0.7005246425886402,0.2819432955272845,0.25,0.2920296742201791,0.6460490618620832,0.3896616167508844,0.3216736159093698,0.5719859672796723,0.5131083933953029
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8979664515590162,0.7005246425886402,0.09638331603354544,0.75,0.4898961024049784,0.16407628360499427,0.2430455213995839,0.7451716228076518,0.19895473177119,0.9470744551721584
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2882451452105217,0.7451276424076156,0.7379735186326362,0.625,0.3652123889719707,0.9116650495769786,0.5221221804333833,0.26108794696876714,0.05834489474886351,0.40149719561710917
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9999999999999991,0.6851982561085808,0.6008088606214037,0.5,0.20906195512216752,0.24809016992163757,0.0,0.0540730843033054,0.7954513685091431,0.8403719735128661
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4219279472848614,0.7451276424076156,0.0,0.625,0.2920296742201791,0.4182238810868095,0.4142730524034408,0.37505066176837665,0.27609100631388067,0.7325032405928162
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743062239834396,0.6538136478623291,0.9488072563285956,0.5,0.4898961024049784,0.734711835587928,0.12143679580091904,0.16136122527962823,0.31142633580941464,0.5684272865646491
9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7313945021456671,0.29207586656242945,0.45899060470115893,0.0,0.43067655807339333,0.6562421086211231,0.36480029958661664,0.6193740603246572,0.9651298508422661,1.0
